naics_code,Business_types,operating_expenses,annual_payroll,employer_cost,employer_costs_health_insurance,employer_costs_contribution_plans,employer_costs_pension_plans,employer_costs_benefits,contract_labor_costs,expensed_equipment_amount,packaging_materials_and_containers,parts_and_supplies_not_for_resale,purchases_of_software,data_processing_and_computer_services,commission_expense_amount,communication_services,repairs_and_maintenance_of_equipment,maintenance_of_buildings_offices,rental_payment_for_machinery,rental_payments_for_buildings_offices,electricity,fuels,water_sewer_and_other_utility,transportation_shipping_warehousing,advertising_and_promotional_services,professional_and_technical_services,depreciation_and_amortization,taxes_and_license,other_operating_expenses
4445,Retail Trade,916307,394957,82714,32138,5899,3250,41427,6211,3181,5802,15964,2583,4425,7342,7799,9144,9002,3461,87439,22524,2128,3794,16392,53021,16949,51193,17855,92489
441,Motor vehicle and parts,130153,65382,11700,4312,548,110,6729,571,768,150,2475,467,1824,1157,1040,907,1076,337,9947,1889,468,434,964,9266,2057,3950,2201,11126
4411,Automobile dealers,92263,46947,8107,3008,362,61,4676,305,564,90,1537,388,1660,1011,612,535,800,228,6461,1236,287,273,538,7578,1464,2442,1452,7749
4413,Auto parts and tire stores ,27870,13857,2772,1015,145,48,1564,737.1,147,39,727,50,109,1214.2,317,284,189,96,2510,477,136,130,283,1146,450,1198,595,2113
442,Furniture stores,34721,12898,2481,917,130,19,1416,495,100,154,528,88,99,369,304,238,330,114,5083,760,117,134,993,3194,451,1345,616,3831
443,Electronics and appliance stores,26027,11044,1986,666,123,7,1190,208,73,46,453,114,51,1214.2,359,126,258,123,2941,392,48,74,552,1894,1041,1509,430,2079
444,Building mat. and garden equip dealers ,74261,35414,7625,3572,588,98,3367,474,392,150,1480,198,162,439,620,1102,748,610,4342,1671,334,290,1224,3331,810,4738,1644,6463
4441,Building mat. and supplies dealers,64850,31353,6864,3313,541,74,2936,426,326,94,1149,170,140,427,533,800,636,476,3746,1469,237,255,1081,2971,687,4180,1464,5367
445,Food and beverage stores ,147801,65074,17639,7688,1136,1281,7534,466,414,2224,2570,204,310,313,608,2168,1459,413,12287,6275,446,812,1514,4818,1605,9320,2435,14431
4451,Grocery stores ,133425,59408,16601,7356,1091,1241,6913,409,323,2016,2329,184,260,189,478,2003,1337,344,10262,5742,397,710,1359,4386,1312,8798,2170,12410
4453,"Beer, wine, and liquor stores ",8357,3163,590,201,30,32,326,11,48,46,104,14,40,1214.2,72,76,74,30,1294,302,23,52,57,242,187,333,180,1314
446,Health and personal care stores ,72689,34156,717,3492.9,592,366.1,5158.9,737.1,469,803.2,2262.3,264.2,438.3,161,736.7,1193.7,1127.7,374.7,9312.1,2902.2,50,628.8,800,2958,2030.5,6378.8,2537.7,14825.3
